id,soru,cevapa,cevapb,cevapc,cevapd,cevape,dogrucevap,verilencevap,dogruyanlis,aciklama,sinav,kacincisoru,kategori,resim
109,"Ertuğrul : Yağmurun ve karın yağması Zehra : Güneş ve ayın hareket etmesi Muhammet : Gece ve gündüzün birbirini takip etmesi Nesrin : Depremde çürük yapıların yıkılması Buna göre, Allah’ın herşeyi bir ölçüye göre yaratmasıyla ilgili hangi öğrencinin verdiği örnek yanlıştır?",Nesrin , Zehra,Muhammet ,Ertuğrul,,A,,bos,,6,9,1,
111," Din Kültürü ve Ahlak Bilgisi öğretmeni, Hakan’a “Yardımlaşma Kurumlarımız” konulu bir performans ödevi verdi. Buna göre Hakan’ın ödevinde aşağıdakilerden hangisi yer almaz?",Sosyal Yardımlaşma ve Dayanışma Vakfı, Türkiye Diyanet Vakfı,Tema Vakfı,Kızılay,,C,,bos,,6,11,1,
112," Kerem ve Selin hac ibadetinin bireysel ve toplumsal etkisi hakkında babalarıyla tartışıyorlardı. Kerem bireysel, Selin ise haccın toplumsal faydalarını savunuyordu. Aşağıdakilerden hangisi Selin’in savunacağı fikirlerden biridir?",Kişi Allah’ın verdiği nimetlere şükreder.," Kişi, tövbe eder ve günahlarından arınır.","Kişi, Allah’ın emrini yerine getirerek mutlu olur.","Kişi, farklı toplumlardan insanlarla tanışıp dostluklar kurar.",,D,,bos,,6,12,1,
113, Aşağıdaki hadislerden hangisi zekât ya da sadakanın toplumsal yönü ile ilgili değildir?,“Sadaka vermek malı eksiltmez.”, “Komşusu aç iken kendisi tok yatan olgun bir mümin değildir.”,“Kişi kardeşine yardım ettiği sürece Allah da ona yardım eder.”,“Başkalarına zarar verecek bir şeyi yoldan kaldırmak da sadakadır.”,,A,,bos,,6,13,1,
114," Merve, televizyonda bazı insanların, kurbanlık hayvanlara eziyet edip, kötü davrandığına ilişkin haberleri izleyince: - Babacığım! İnsanlar Peygamber Efendimizin şu hadisini bilmiyorlar mı, diye tepki gösterdi. Buna göre, Merve babasına aşağıdaki hadislerden hangisini hatırlatmış olabilir?",“Bizi aldatan bizden değildir.”, “Birbirinize öfke duyup kin gütmeyin.”,“Merhamet etmeyene merhamet olunmaz.”,“Birbirinizi sevmedikçe tam olarak iman etmiş olmazsınız.”,,C,,bos,,6,14,1,
115, Zeynep okula gelmeyen arkadaşı İrem’e derste işlenen hac konusunu özetlerken aşağıdakilerden hangisini yanlış aktarmıştır?,Allah’ın rızasını kazanmak için yapılır., Yıl içinde herhangi bir zamanda yapılabilir.,Şartları uygun olan her Müslümana farzdır.,"Belirli görevler, belirli mekânlarda yerine getirilir.",,B,,bos,,6,15,1,
116," Nasrettin Hoca, ceviz ağacının altında uzanmış dinleniyordu. Bir bal kabaklarına baktı, bir de koca ceviz ağacındaki küçük cevizlere: ― “Ey yüce Rabb’im, şu incecik kabak sapında kocaman kabağı, koca ceviz ağacında ise küçücük cevizi yaratmışsın!” diye söylenirken bir ceviz tanesi hocanın kafasına düştü. Gözünde şimşekler çakan hoca şöyle dedi: ― “Tövbe Yüce Rabb’im, bir daha senin işine karışmam. Ya kafama ceviz yerine kabak düşseydi, halim ne olurdu!” Bu fıkrada vurgulanan ana fikir aşağıdakilerdenhangisidir?",Allah’ın işine karışılmaz., Allah herşeyi bilir ve gözetir.,Alah’ın herşeyi yapmaya gücü yeter.,Allah herşeyi bir ölçüye göre yaratmıştır.,,D,,bos,,6,16,1,
117, Zekâtın veriliş miktarı bakımından aşağıdakilerden hangisi diğerlerinden farklıdır?,Koyun ve keçi, Altın ve gümüş,Toprak ürünleri,Para ve menkul değerler,,C,,bos,,6,17,1,
118," Zekâtın nasıl verilmesi gerektiğiyle ilgili bir afiş hazırlayan Ömer’in, afişini desteklemek için aşağıdaki ayet veya hadislerden hangisini kullanması beklenir?","“Öyleyse yetimi sakın üzme! İsteyeni sakın azarlama!” (Duhâ suresi, 9. 10. ayetler)", “Kardeşini güleryüzle karşılaman da bir iyiliktir.” (Hadis-i Şerif),“Gözleri görmeyene yardım etmen de bir sadakadır.” (Hadis-i Şerif),"“Sevdiğiniz şeylerden (Allah yolunda) harcamadıkça iyiye erişemezsiniz.” (Âl-i İmrân suresi, 92. ayet)",,A,,bos,,6,18,1,
119," Hac ibadeti yerine getirilirken, Hacer annemizin, oğlu İsmail için su arayışının sembolik olarak canlandırılmasını ifade eden kavram aşağıdakilerden hangisidir?",Sa’y , Tavaf ,Vakfe ,İhram,,A,,bos,,6,19,1,
120,Bir insanın kendi isteğiyle Allah rızası için yaptığı her türlü yardım ve iyiliğe sadaka denir. Sadakada miktar ve zaman sınırlaması yoktur. Ayrıca sadaka verecek kişinin zengin olması da gerekmez. Aşağıdakilerden hangisi bu açıklamaya uygun bir örnek oluşturur?,Beraber proje ödevi hazırlamak,Arkadaşı ile aynı sırayı paylaşmak,Takım oyununu sahaya yansıtmak,Hasta arkadaşını hastaneye götürmek,,D,,bos,,6,20,1,
